trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1492,False,"{'a': 0.2, 'e': 0.002569612935943285}",20,13,11.749833254561791,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1493,False,"{'a': 0.2, 'e': 0.0025593550137211784}",20,14,12.132425829278873,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1494,False,"{'a': 0.2, 'e': 0.002549138041233896}",25,16,17.41772113115723,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1495,False,"{'a': 0.2, 'e': 0.0025389618550096544}",25,20,7.7695928668804255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1496,False,"{'a': 0.2, 'e': 0.0025288262922292556}",25,5,35.48742755221933,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1497,False,"{'a': 0.2, 'e': 0.0025187311907234828}",30,16,19.598506405325402,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1498,False,"{'a': 0.2, 'e': 0.0025086763889704926}",20,9,19.900928750634122,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1499,False,"{'a': 0.2, 'e': 0.0024986617260932442}",30,17,24.272703567492037,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1500,False,"{'a': 0.2, 'e': 0.0024886870418569206}",20,0,26.163930487299154,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1501,False,"{'a': 0.2, 'e': 0.0024787521766663585}",20,9,20.724069261707744,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1502,False,"{'a': 0.2, 'e': 0.002468856971563503}",25,19,10.036048271428331,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1503,False,"{'a': 0.2, 'e': 0.0024590012682248574}",20,14,8.358359459105085,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1504,False,"{'a': 0.2, 'e': 0.0024491849089589663}",25,15,14.869570543709202,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1505,False,"{'a': 0.2, 'e': 0.002439407736703868}",30,14,32.66696491818474,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1506,False,"{'a': 0.2, 'e': 0.0024296695950245953}",20,8,24.499705393077264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1507,False,"{'a': 0.2, 'e': 0.0024199703281106784}",20,11,16.600469572639035,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1508,False,"{'a': 0.2, 'e': 0.002410309780773635}",25,7,28.395418062968183,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1509,False,"{'a': 0.2, 'e': 0.002400687798444504}",20,10,16.16400104526188,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1510,False,"{'a': 0.2, 'e': 0.002391104227171365}",20,16,7.326365625223548,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1511,False,"{'a': 0.2, 'e': 0.0023815589136168707}",20,10,19.399308355923548,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1512,False,"{'a': 0.2, 'e': 0.002372051705055801}",20,3,23.172286966778124,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1513,False,"{'a': 0.2, 'e': 0.0023625824493726123}",25,13,21.251537196506202,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1514,False,"{'a': 0.2, 'e': 0.0023531509950590187}",25,16,18.534367560718852,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1515,False,"{'a': 0.2, 'e': 0.002343757191211547}",25,16,15.7967685177831,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1516,False,"{'a': 0.2, 'e': 0.002334400887529133}",20,7,20.60790033566182,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1517,False,"{'a': 0.2, 'e': 0.002325081934310722}",25,18,14.218340092062228,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1518,False,"{'a': 0.2, 'e': 0.00231580018245286}",25,18,11.757727602792237,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1519,False,"{'a': 0.2, 'e': 0.0023065554834473204}",25,12,22.476659305339393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1520,False,"{'a': 0.2, 'e': 0.0022973476893787246}",20,5,22.737761727584136,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1521,False,"{'a': 0.2, 'e': 0.0022881766529221693}",25,13,20.02412686250488,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1522,False,"{'a': 0.2, 'e': 0.002279042227340875}",25,18,13.402659648169518,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1523,False,"{'a': 0.2, 'e': 0.002269944266483834}",20,12,18.216683928674232,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1524,False,"{'a': 0.2, 'e': 0.002260882624783486}",25,11,25.7806377557678,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1525,False,"{'a': 0.2, 'e': 0.002251857157253367}",25,5,31.56856231491278,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1526,False,"{'a': 0.2, 'e': 0.002242867719485801}",20,16,8.99561023905382,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1527,False,"{'a': 0.2, 'e': 0.0022339141676495974}",20,6,25.60792897859498,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1528,False,"{'a': 0.2, 'e': 0.0022249963584877307}",20,0,27.84747265107198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1529,False,"{'a': 0.2, 'e': 0.0022161141493150668}",25,17,16.208468532506487,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1530,False,"{'a': 0.2, 'e': 0.0022072673980160704}",25,14,19.342902150524,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1531,False,"{'a': 0.2, 'e': 0.0021984559630425313}",30,16,21.97512966726907,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1532,False,"{'a': 0.2, 'e': 0.002189679703411301}",20,14,14.325596592874817,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1533,False,"{'a': 0.2, 'e': 0.0021809384787020345}",35,21,23.594605343356914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1534,False,"{'a': 0.2, 'e': 0.0021722321490549577}",25,5,32.87024857297544,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1535,False,"{'a': 0.2, 'e': 0.002163560575168607}",20,9,22.5677598539171,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1536,False,"{'a': 0.2, 'e': 0.002154923618297613}",20,13,12.235163774208306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1537,False,"{'a': 0.2, 'e': 0.0021463211402504836}",20,11,18.174584543606287,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1538,False,"{'a': 0.2, 'e': 0.002137753003387388}",30,10,32.3892370800824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1539,False,"{'a': 0.2, 'e': 0.0021292190706179506}",30,10,-9.059141144874863,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
1540,False,"{'a': 0.2, 'e': 0.002120719205399068}",30,12,31.215390321502046,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1541,False,"{'a': 0.2, 'e': 0.002112253271732714}",25,12,23.319354389174126,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1542,False,"{'a': 0.2, 'e': 0.0021038211341637652}",20,10,17.530774028829242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1543,False,"{'a': 0.2, 'e': 0.0020954226577778487}",20,14,15.147152020306574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1544,False,"{'a': 0.2, 'e': 0.0020870577081991584}",30,17,17.53011742644422,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1545,False,"{'a': 0.2, 'e': 0.002078726151588324}",30,16,26.899387024748194,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1546,False,"{'a': 0.2, 'e': 0.0020704278546402606}",20,6,23.699470508077134,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1547,False,"{'a': 0.2, 'e': 0.002062162684582037}",30,11,36.13816641448806,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1548,False,"{'a': 0.2, 'e': 0.002053930509170763}",25,16,19.74446302208407,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1549,False,"{'a': 0.2, 'e': 0.0020457311966914533}",30,24,10.115095086621668,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1550,False,"{'a': 0.2, 'e': 0.002037564615954931}",30,8,45.51314003724956,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1551,False,"{'a': 0.2, 'e': 0.002029430636295734}",25,10,17.92326248343712,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1552,False,"{'a': 0.2, 'e': 0.00202132912757001}",20,13,14.203003266760312,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1553,False,"{'a': 0.2, 'e': 0.0020132599601534497}",30,18,20.9225257731195,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1554,False,"{'a': 0.2, 'e': 0.0020052230049392027}",20,13,1.2742925860266907,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
1555,False,"{'a': 0.2, 'e': 0.0019972181333358127}",25,10,25.257617031804916,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1556,False,"{'a': 0.2, 'e': 0.0019892452172651635}",30,11,31.182688718547222,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1557,False,"{'a': 0.2, 'e': 0.0019813041291604242}",20,13,13.001547990935489,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1558,False,"{'a': 0.2, 'e': 0.001973394741964023}",25,13,21.98498295888403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1559,False,"{'a': 0.2, 'e': 0.0019655169291255925}",30,16,29.44099723986935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1560,False,"{'a': 0.2, 'e': 0.001957670564599957}",20,3,33.22569545775969,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1561,False,"{'a': 0.2, 'e': 0.0019498555228451206}",25,15,16.82117579573594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
